Вино(описание),Цена
"Вино Стеммари Неро д'Авола Сицилия DOC красное полусухое,Италия, 0.75 л., Сицилия, 13%",499.99 ₽
"Вино Адарас Уэйя Альманса DO красное сухое,Испания, 0.75 л., Альманса, 14%",699.99 ₽
"Вино Стеммари Сира Сицилия DOC красное сухое,Италия, 0.75 л., Сицилия, 13.5%",499.99 ₽
"Вино Навесур Вердехо Руэда бел.сух.,Испания, 0.75 л., Руэда, 13%",399.99 ₽
"Вино Ла Фьоль Кот Дю Рон кр.сух,Франция, 0.75 л., Долина Роны, 14%",799.99 ₽
"Вино Монтанья Финка Ла Валентина Крианса кр.сух,Испания, 0.75 л., Риоха, 14%",489.99 ₽
"Вино Тенуте Россетти Россо Тоскана IGT красное полусухое,Италия, 0.75 л., Тоскана, 12.5%",499.99 ₽
"Вино Сьерра де Энмедио Олд Вайнз Монастрель Хумилья ДОП марочное кр.сух.,Испания, 0.75 л., Хумилья, 13%",499.99 ₽
"Вино Орапьена Монтепульчано д'Абруццо Ризерва ДОК красное сухое,Италия, 0.75 л., Абруццо, 13.5%",849.90 ₽
"Вино Стеммари Москато Сицилия IGT белое сладкое,Италия, 0.75 л., Сицилия, 8.5%",599.99 ₽
"Вино Примитиво Пулия Эпикуро красное полусухое,Италия, 0.75 л., Апулия, 14%",589.99 ₽
"Вино Галеоне Верментино Тоскана белое полусухое,Италия, 0.75 л., Тоскана, 12.5%",549.99 ₽
"Вино Пьетраме Эдицьене Лимитата Шардоне Пассерина белое полусухое,Италия, 0.75 л., Абруццо, 12.5%",499.99 ₽
"Вино Шато Де О Перишон AOC красное сухое,Франция, 0.75 л., Бордо, 14%",449.90 ₽
"Вино Энканто Селексьон кр.сух,Испания, 0.75 л., Кастилья и Леон, 13.5%",489.99 ₽
"Вино Пино Гриджио Делле Венецие Арнази IGP белое сухое,Италия, 0.75 л., Венето, 12.5%",999.90 ₽
"Вино Неро Ди Троя Терре ди Тускаяк кр.п/сух,Италия, 0.75 л., Апулия, 13.5%",499.99 ₽
"Вино Корезей Мерло Тревенецие Венето IGP красное сухое,Италия, 0.75 л., Венето, 12%",349.99 ₽
"Вино Дон Рамон Гарнача Империаль Робле кр.сух,Испания, 0.75 л., Кампо де Борха, 14%",399.99 ₽
"Вино Бариста Пинотаж красное сухое,ЮАР, 0.75 л., Вестерн Кейп, 13%",799.90 ₽
"Вино Корезей Соаве Венето DOP белое сухое,Италия, 0.75 л., Венето, 12%",449.90 ₽
"Вино Патриа Чика красное сухое,Испания, 0.75 л., Арагон, 14%",969.90 ₽
"Вино Рипа Магна Корвина Делла Провинча Ди Верона IGP красное сухое,Италия, 0.75 л., Венето, 14%",999.90 ₽
"Вино Дон Каетано Резерва Эспесьяль Совиньон Блан белое сухое,Чили, 0.75 л., Долина Кольчагуа, 12%",599.99 ₽
"Вино Дон Каетано Резерва Эспесьяль Шардоне белое сухое,Чили, 0.75 л., Долина Кольчагуа, 13%",599.99 ₽
"Вино Питейра Алентежу Д.О.К белое сухое,Португалия, 0.75 л., Алентежу, 13%",499.90 ₽
"Вино Цизола Сицилия DOC красное сухое,Италия, 0.75 л., Сицилия, 13%",1299.90 ₽
"Вино Вента ла Осса VDT кр.сух,Испания, 0.75 л., Кастилья Ла Манча, 14.5%",1799.99 ₽
"Вино Стеммари Пино Гриджо Сицилия IGT белое сухое,Италия, 0.75 л., Сицилия, 13%",569.99 ₽
"Вино Мо Монтепульчано д'Абруццо Ризерва красное сухое,Италия, 0.75 л., Абруццо, 13.5%",1299.99 ₽
"Вино Донья Бернарда красное сухое,Чили, 0.75 л., Долина Кольчагуа, 14%",1899.99 ₽
"Вино Анэкспектед Макабео Шардоне белое сухое,Испания, 0.75 л., Арагон, 13%",799.99 ₽
"Вино Анэкспектед Гарнача красное сухое 14%,Испания, 0.75 л., Арагон, 14%",799.99 ₽
